step,pwm_l,pwm_r,comp_sig,enc_l,enc_r,target_left,target_right
0,0.0000,0.0000,0.0000,-0.0229,0.0000,42.0381,42.0610
1,0.0398,0.0398,0.0000,-0.0229,0.0000,42.0381,42.0610
2,0.1594,0.1594,0.0000,-0.0229,0.0000,42.0381,42.0610
3,0.3586,0.3586,0.0000,-0.0229,0.0000,42.0381,42.0610
4,0.6375,0.6375,0.0000,-0.0229,0.0000,42.0381,42.0610
5,0.9961,0.9961,0.0000,-0.0229,0.0000,42.0381,42.0610
6,1.4344,1.4344,0.0000,-0.0229,0.0000,42.0381,42.0610
7,1.9523,1.9523,0.0000,-0.0229,0.0000,42.0381,42.0610
8,2.5500,2.5500,0.0000,-0.0229,0.0000,42.0381,42.0610
9,3.2273,3.2273,0.0000,-0.0229,0.0000,42.0381,42.0610
10,3.9844,3.9844,0.0000,-0.0229,0.0000,42.0381,42.0610
11,4.8211,4.8211,0.0000,-0.0229,0.0000,42.0381,42.0610
12,5.7375,5.7375,0.0000,-0.0229,0.0000,42.0381,42.0610
13,6.7336,6.7336,0.0000,-0.0229,0.0000,42.0381,42.0610
14,7.8094,7.8094,0.0000,-0.0229,0.0000,42.0381,42.0610
15,8.9648,8.9648,0.0000,-0.0229,0.0000,42.0381,42.0610
16,10.2000,10.2000,0.0000,-0.0229,0.0000,42.0381,42.0610
17,11.5148,11.5148,0.0000,-0.0229,0.0000,42.0381,42.0610
18,12.9094,12.9094,0.0000,-0.0229,0.0000,42.0381,42.0610
19,14.3836,14.3836,0.0000,-0.0229,0.0000,42.0381,42.0610
20,15.9375,15.9375,0.0000,-0.0229,0.0000,42.0381,42.0610
21,17.5711,17.5711,0.0000,-0.0229,0.0000,42.0381,42.0610
22,19.2844,19.2844,0.0000,-0.0229,0.0000,42.0381,42.0610
23,21.0773,21.0773,0.0000,-0.0229,0.0000,42.0381,42.0610
24,22.9500,22.9500,0.0000,-0.0229,0.0000,42.0381,42.0610
25,24.9023,24.9023,0.0000,-0.0229,0.0000,42.0381,42.0610
26,26.9344,26.9344,0.0000,-0.0229,0.0000,42.0381,42.0610
27,29.0461,29.0461,0.0000,-0.0229,0.0000,42.0381,42.0610
28,31.2375,31.2375,0.0000,-0.0229,0.0000,42.0381,42.0610
29,33.5086,33.5086,0.0000,-0.0229,0.0000,42.0381,42.0610
30,35.8594,35.8594,0.0000,-0.0229,0.0000,42.0381,42.0610
31,38.2898,38.2898,0.0000,-0.0229,0.0000,42.0381,42.0610
32,40.8000,40.8000,0.0000,-0.0229,0.0000,42.0381,42.0610
33,43.3898,43.3898,0.0000,-0.0229,0.0000,42.0381,42.0610
34,46.0594,46.0594,0.0000,-0.0229,0.0000,42.0381,42.0610
35,48.8086,48.8086,0.0000,-0.0229,0.0000,42.0381,42.0610
36,51.6375,51.6375,0.0000,-0.0229,0.0000,42.0381,42.0610
37,54.5461,54.5461,0.0000,-0.0229,0.0000,42.0381,42.0610
38,57.5344,57.5344,0.0000,-0.0229,0.0000,42.0381,42.0610
39,60.6023,60.6023,0.0000,-0.0229,0.0000,42.0381,42.0610
40,63.7500,63.7500,0.0000,-0.0229,0.0000,42.0381,42.0610
41,66.9773,66.9773,0.0000,-0.0229,0.0000,42.0381,42.0610
42,70.1464,70.2844,-0.5007,0.0000,0.0000,42.0381,42.0610
43,73.5386,73.6711,-0.4586,0.0000,0.0000,42.0381,42.0610
44,76.9988,77.1375,-0.4586,0.0000,0.0000,42.0381,42.0610
45,80.3801,80.6836,-0.9591,0.0229,0.0000,42.0381,42.0610
46,84.1716,84.3094,-0.4168,0.0229,0.0229,42.0381,42.0610
47,87.6840,88.0149,-0.9586,0.0459,0.0229,42.0381,42.0610
48,91.4698,91.8000,-0.9173,0.0459,0.0229,42.0381,42.0610
49,95.1330,95.6649,-1.4178,0.0688,0.0229,42.0381,42.0610
50,98.8767,99.6094,-1.8758,0.0917,0.0229,42.0381,42.0610
51,103.0912,103.6336,-1.3347,0.0917,0.0459,42.0381,42.0610
52,107.1562,107.7375,-1.3759,0.1147,0.0688,42.0381,42.0610
53,111.0983,111.9211,-1.8747,0.1376,0.0688,42.0381,42.0610
54,115.3485,116.1844,-1.8345,0.1605,0.0917,42.0381,42.0610
55,119.4255,120.5273,-2.3313,0.2064,0.1147,42.0381,42.0610
56,124.0698,124.9500,-1.7964,0.2293,0.1605,42.0381,42.0610
57,128.5211,129.4523,-1.8345,0.2522,0.1835,42.0381,42.0610
58,132.8089,134.0344,-2.3315,0.2981,0.2064,42.0381,42.0610
59,137.7191,138.6961,-1.7963,0.3210,0.2522,42.0381,42.0610
60,142.1263,143.4375,-2.3310,0.3669,0.2752,42.0381,42.0610
